tag,release_datetime
v1.0.0-beta,2024-10-29T10:35:19
v1.0.1-beta,2024-11-05T10:58:35
v1.0.2-beta,2024-11-12T10:58:28
v1.0.3-beta,2024-11-19T10:28:07
v1.0.4-beta,2024-11-26T10:24:02
v1.0.5-beta,2024-12-03T10:32:35
v1.0.6-beta,2024-12-10T10:20:53
v1.0.7-beta,2025-01-14T10:46:27
v1.0.8-beta,2025-01-21T10:23:48
v1.0.9-beta,2025-01-28T10:13:18
v1.0.10-beta,2025-02-11T10:23:03
v1.0.11-beta,2025-02-18T10:26:46
v1.0.12-beta,2025-03-04T10:26:25
v1.0.13-beta,2025-03-11T10:36:54
v1.0.14-beta,2025-03-18T10:06:44
v1.0.15-beta,2025-03-25T10:21:57
v1.0.16-beta,2025-04-01T09:10:49
v1.0.17-beta,2025-04-08T09:23:07
v1.0.18-beta,2025-04-15T09:23:56
v1.0.19-beta,2025-04-29T09:18:02
v1.0.21-beta,2025-05-13T09:16:56
v1.0.22-beta,2025-05-20T09:04:22
v1.0.23-beta,2025-06-03T09:30:50
v1.0.24-beta,2025-06-10T09:23:18
v1.0.26-beta,2025-07-08T09:11:22
v1.0.27-beta,2025-07-16T09:07:45
v1.0.28-beta,2025-07-22T09:37:24
v1.0.29-beta,2025-07-29T09:13:32
v1.0.30-beta,2025-08-05T09:05:49
v1.0.32-beta,2025-08-14T09:20:47
v1.0.33-beta,2025-08-19T09:15:16
v1.0.34-beta,2025-09-02T09:08:00
v1.0.35-beta,2025-09-09T09:04:39
v1.0.36-beta,2025-09-16T09:11:35
v1.0.37-beta,2025-09-23T09:37:31
v1.0.38-beta,2025-10-07T09:10:12
v1.0.39-beta,2025-10-14T09:16:43
v1.0.40-beta,2025-10-21T14:15:29
v1.0.41-beta,2025-10-28T11:08:09
v1.0.42-beta,2025-11-04T11:18:48
v1.0.43-beta,2025-11-11T10:21:22
v1.0.44-beta,2025-11-18T10:54:38
v1.0.45-beta,2025-11-25T10:09:13
